,tiempoEnvio,tiempoRecepcion,tiempoServer,estado,accion,recibido
0,1658418638356,,,b'\xf8\xf3\xf5\xf6\xf8\xf2\xe0\xb5\xf7\xf9\xf8\xf4\xf6\xfd\x93\xfc\xf8\xf5\xf7\xfe\xb0\xff\xfb\xf6\xf8\xff\xec\xfd\xfb\xf6\xf7\xfc\xf4\xdb\xfa\xf6\xf9\xfe\xf6\xb0\xfd\xf8\xf9\xfd\xd6\xa0\xfd\xf9',,False
1,1658418638463,,,b'\xf8\xf3\xf4\xf5\xf7\xf3\xe0\xb5\xf7\xfa\xf8\xf3\xf5\xfc\x92\xfb\xf8\xf4\xf8\xff\xaf\xff\xfa\xf6\xf8\xfe\xec\xfc\xf9\xf6\xf8\xfe\xf4\xdb\xfa\xf7\xf8\xfd\xf4\xaf\xfd\xf8\xf9\xfd\xd7\xa0\xfe\xfa',,False
2,1658418638720,,,b'\xf8\xf3\xf4\xf5\xf7\xf3\xe0\xb5\xf7\xfa\xf8\xf3\xf5\xfc\x92\xfb\xf8\xf4\xf8\xff\xaf\xff\xfa\xf6\xf8\xfe\xec\xfc\xf9\xf6\xf8\xfe\xf4\xdb\xfa\xf7\xf8\xfd\xf4\xaf\xfd\xf8\xf9\xfd\xd7\xa0\xfe\xfa',,False
3,1658418639010,,,b'\xfa\xf3\xf5\xf7\xf7\xf2\xe1\xb6\xf7\xf9\xf8\xf4\xf5\xfb\x92\xfb\xf8\xf5\xf8\xff\xaf\xff\xfa\xf6\xf8\xff\xec\xfb\xf9\xf6\xf7\xfe\xf5\xdc\xfb\xf7\xf7\xfc\xf3\xaf\xfe\xf8\xf9\xfd\xd6\x9f\xfc\xf9',,False
4,1658418639270,,,b'\xfa\xf3\xf5\xf7\xf7\xf2\xe1\xb6\xf7\xf9\xf8\xf4\xf5\xfb\x92\xfb\xf8\xf5\xf8\xff\xaf\xff\xfa\xf6\xf8\xff\xec\xfb\xf9\xf6\xf7\xfe\xf5\xdc\xfb\xf7\xf7\xfc\xf3\xaf\xfe\xf8\xf9\xfd\xd6\x9f\xfc\xf9',,False
5,1658418639538,,,b'\xf9\xf4\xf4\xf5\xf7\xf2\xe1\xb6\xf7\xfa\xf8\xf3\xf6\xfc\x92\xfb\xf8\xf5\xf8\xff\xaf\xff\xfa\xf7\xf8\xfe\xec\xfc\xf9\xf6\xf9\xfe\xf4\xdb\xfa\xf7\xf8\xfd\xf5\xaf\xfe\xf8\xf9\xfd\xd7\x9f\xfc\xf8',,False
6,1658418639831,,,b'\xf9\xf2\xf4\xf6\xf7\xf2\xe0\xb4\xf8\xf9\xf8\xf3\xf5\xfc\x93\xfc\xf9\xf5\xf8\xff\xb0\xff\xfa\xf7\xf8\xff\xed\xfc\xfa\xf8\xf7\xfe\xf5\xdc\xfb\xf7\xf7\xfd\xf4\xaf\xfd\xf8\xf8\xfc\xd6\xa0\xfd\xf9',,False
7,1658418640100,,,b'\xf9\xf2\xf4\xf6\xf7\xf2\xe0\xb4\xf8\xf9\xf8\xf3\xf5\xfc\x93\xfc\xf9\xf5\xf8\xff\xb0\xff\xfa\xf7\xf8\xff\xed\xfc\xfa\xf8\xf7\xfe\xf5\xdc\xfb\xf7\xf7\xfd\xf4\xaf\xfd\xf8\xf8\xfc\xd6\xa0\xfd\xf9',,False
8,1658418640593,,,b'\xf9\xf2\xf5\xf7\xf8\xf2\xe1\xb5\xf7\xf8\xf7\xf3\xf5\xfc\x92\xfc\xf8\xf5\xf8\xff\xaf\xff\xfa\xf5\xf8\xff\xec\xfb\xfa\xf6\xf8\xfe\xf5\xdc\xfb\xf6\xf8\xfd\xf3\xaf\xfd\xf8\xf8\xfc\xd6\xa0\xfd\xf9',,False
9,1658418640794,,,b'\xf9\xf2\xf5\xf7\xf8\xf2\xe1\xb5\xf7\xf8\xf7\xf3\xf5\xfc\x92\xfc\xf8\xf5\xf8\xff\xaf\xff\xfa\xf5\xf8\xff\xec\xfb\xfa\xf6\xf8\xfe\xf5\xdc\xfb\xf6\xf8\xfd\xf3\xaf\xfd\xf8\xf8\xfc\xd6\xa0\xfd\xf9',,False
